"PID","RP_Hurt_Experience","RP_Hurt_Expression","RP_Hurt_Conn_Recall","RP_Hurt_Dist_Recall","RP_Hurt_Afrm_Recall","RP_Hurt_Conn_Hyp","RP_Hurt_Dist_Hyp","RP_Hurt_Afrm_Hyp","RP_Hurt_Want","RP_Joys_Experience","RP_Joys_Expression","RP_Joys_Conn_Recall","RP_Joys_Dist_Recall","RP_Joys_Afrm_Recall","RP_Joys_Conn_Hyp","RP_Joys_Dist_Hyp","RP_Joys_Afrm_Hyp","RP_Joys_Want","RP_Love_Experience","RP_Love_Expression","RP_Love_Conn_Recall","RP_Love_Dist_Recall","RP_Love_Afrm_Recall","RP_Love_Conn_Hyp","RP_Love_Dist_Hyp","RP_Love_Afrm_Hyp","RP_Love_Want","RP_Sadn_Experience","RP_Sadn_Expression","RP_Sadn_Conn_Recall","RP_Sadn_Dist_Recall","RP_Sadn_Afrm_Recall","RP_Sadn_Conn_Hyp","RP_Sadn_Dist_Hyp","RP_Sadn_Afrm_Hyp","RP_Sadn_Want","CF_Hurt_Experience","CF_Hurt_Expression","CF_Hurt_Conn_Recall","CF_Hurt_Dist_Recall","CF_Hurt_Afrm_Recall","CF_Hurt_Conn_Hyp","CF_Hurt_Dist_Hyp","CF_Hurt_Afrm_Hyp","CF_Hurt_Want","CF_Joys_Experience","CF_Joys_Expression","CF_Joys_Conn_Recall","CF_Joys_Dist_Recall","CF_Joys_Afrm_Recall","CF_Joys_Conn_Hyp","CF_Joys_Dist_Hyp","CF_Joys_Afrm_Hyp","CF_Joys_Want","CF_Love_Experience","CF_Love_Expression","CF_Love_Conn_Recall","CF_Love_Dist_Recall","CF_Love_Afrm_Recall","CF_Love_Conn_Hyp","CF_Love_Dist_Hyp","CF_Love_Afrm_Hyp","CF_Love_Want","CF_Sadn_Experience","CF_Sadn_Expression","CF_Sadn_Conn_Recall","CF_Sadn_Dist_Recall","CF_Sadn_Afrm_Recall","CF_Sadn_Conn_Hyp","CF_Sadn_Dist_Hyp","CF_Sadn_Afrm_Hyp","CF_Sadn_Want","CC_Hurt_Experience","CC_Hurt_Expression","CC_Hurt_Conn_Recall","CC_Hurt_Dist_Recall","CC_Hurt_Afrm_Recall","CC_Hurt_Conn_Hyp","CC_Hurt_Dist_Hyp","CC_Hurt_Afrm_Hyp","CC_Hurt_Want","CC_Joys_Experience","CC_Joys_Expression","CC_Joys_Conn_Recall","CC_Joys_Dist_Recall","CC_Joys_Afrm_Recall","CC_Joys_Conn_Hyp","CC_Joys_Dist_Hyp","CC_Joys_Afrm_Hyp","CC_Joys_Want","CC_Love_Experience","CC_Love_Expression","CC_Love_Conn_Recall","CC_Love_Dist_Recall","CC_Love_Afrm_Recall","CC_Love_Conn_Hyp","CC_Love_Dist_Hyp","CC_Love_Afrm_Hyp","CC_Love_Want","CC_Sadn_Experience","CC_Sadn_Expression","CC_Sadn_Conn_Recall","CC_Sadn_Dist_Recall","CC_Sadn_Afrm_Recall","CC_Sadn_Conn_Hyp","CC_Sadn_Dist_Hyp","CC_Sadn_Afrm_Hyp","CC_Sadn_Want","SS_Hurt_Experience","SS_Hurt_Expression","SS_Hurt_Conn_Recall","SS_Hurt_Dist_Recall","SS_Hurt_Afrm_Recall","SS_Hurt_Conn_Hyp","SS_Hurt_Dist_Hyp","SS_Hurt_Afrm_Hyp","SS_Hurt_Want","SS_Joys_Experience","SS_Joys_Expression","SS_Joys_Conn_Recall","SS_Joys_Dist_Recall","SS_Joys_Afrm_Recall","SS_Joys_Conn_Hyp","SS_Joys_Dist_Hyp","SS_Joys_Afrm_Hyp","SS_Joys_Want","SS_Love_Experience","SS_Love_Expression","SS_Love_Conn_Recall","SS_Love_Dist_Recall","SS_Love_Afrm_Recall","SS_Love_Conn_Hyp","SS_Love_Dist_Hyp","SS_Love_Afrm_Hyp","SS_Love_Want","SS_Sadn_Experience","SS_Sadn_Expression","SS_Sadn_Conn_Recall","SS_Sadn_Dist_Recall","SS_Sadn_Afrm_Recall","SS_Sadn_Conn_Hyp","SS_Sadn_Dist_Hyp","SS_Sadn_Afrm_Hyp","SS_Sadn_Want","Attn_Check_Never","Attn_Check_Much","Age","Age_4_TEXT","Gender","Gender_5_TEXT","Income","Education","Race","Race_9_TEXT","Community_1_x","Community_1_y","Community"
268,"3","3","2","2","1",NA,NA,NA,"3","2","1","1","1","1",NA,NA,NA,"2","2","1","1","1","1",NA,NA,NA,"2","1","1","1","1","1",NA,NA,NA,"1","4","3","2","2","2",NA,NA,NA,"3","2","2","1","2","1",NA,NA,NA,"2","3","3","2","1","2",NA,NA,NA,"2","1","2","1","2","2",NA,NA,NA,"2","5","5",NA,NA,NA,"3","3","2","5","4","4","3","3","2",NA,NA,NA,"3","5","5",NA,NA,NA,"3","4","4","5","4","3","2","3","4",NA,NA,NA,"5","5","5",NA,NA,NA,"5","3","3","5","3","4","3","2","3",NA,NA,NA,"3","5","5",NA,NA,NA,"5","5","5","5","3","4","3","3","2",NA,NA,NA,"2","5","2","4","53","2",NA,"8","5","8",NA,"235","119","Region #7"
207,"4","3","2","2","2",NA,NA,NA,"1","1","1","2","2","2",NA,NA,NA,"1","1","1","1","1","2",NA,NA,NA,"1","2","3","2","2","2",NA,NA,NA,"1","5","4","2","2","2",NA,NA,NA,"2","2","3","2","3","2",NA,NA,NA,"2","2","3","2","2","2",NA,NA,NA,"2","3","5",NA,NA,NA,"4","3","3","3","5","5",NA,NA,NA,"3","3","4","4","2","3","3","3","3",NA,NA,NA,"2","4","5",NA,NA,NA,"3","3","3","2","5","5",NA,NA,NA,"3","3","3","2","5","5",NA,NA,NA,"3","3","3","4","5","5",NA,NA,NA,"3","3","3","2","5","5",NA,NA,NA,"3","3","3","4","4","5",NA,NA,NA,"2","3","3","2","5","2","4","28","2",NA,"6","5","4",NA,"198","117","Region #7"
93,"1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","3","3","2","2","2",NA,NA,NA,"2","2","3","2","2","2",NA,NA,NA,"2","3","3","1","2","2",NA,NA,NA,"1","3","3","1","1","1",NA,NA,NA,"1","4","4","3","3","3",NA,NA,NA,"2","3","3","3","2","3",NA,NA,NA,"3","4","4","2","2","2",NA,NA,NA,"3","4","4","3","3","3",NA,NA,NA,"3","1","1","4","51","2",NA,"2","1","7",NA,"123","283","Region #2"
297,"4","4","1","2","2",NA,NA,NA,"2","3","3","2","1","1",NA,NA,NA,"2","1","3","1","1","1",NA,NA,NA,"2","3","3","2","1","1",NA,NA,NA,"1","3","3","2","2","2",NA,NA,NA,"2","2","2","2","2","2",NA,NA,NA,"2","2","4","2","2","2",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","4","5",NA,NA,NA,NA,"5","5","5","3","3","2","2","2",NA,NA,NA,"2","5","5",NA,NA,NA,"2","2","2","5","4","3","2","2","2",NA,NA,NA,"2","3","5",NA,NA,NA,"5","5","3","5","4","4","4","3","3",NA,NA,NA,"3","5","5",NA,NA,NA,"4","2","2","5","3","3","2","2","2",NA,NA,NA,"2","5","2","4","49","2",NA,"6","11","7",NA,"216","157","Region #6"
209,"4","3","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","3","3","2","2","2",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","2","1","1","1","1",NA,NA,NA,"1","4","4","3","3","3",NA,NA,NA,"2","1","1","1","1","1",NA,NA,NA,"1","4","3","2","2","2",NA,NA,NA,"2","3","3","1","1","1",NA,NA,NA,"1","4","4","3","3","3",NA,NA,NA,"4","2","2","1","1","1",NA,NA,NA,"1","4","4","2","2","2",NA,NA,NA,"4","3","3","2","2","2",NA,NA,NA,"2","5","2","4","29","2",NA,"7","6","7",NA,"216","110","Other"
308,"4","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","4","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","5","5",NA,NA,NA,"3","2","2","4","2","2","2","2","2",NA,NA,NA,"1","4","5",NA,NA,NA,"3","3","3","4","3","3","3","2","1",NA,NA,NA,"2","5","5",NA,NA,NA,"2","2","2","3","3","3","2","2","2",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","3","3","3","2","2",NA,NA,NA,"2","5","2","4","25","2",NA,"4","5","7",NA,"183","204","Region #4"
79,"2","2","3","3","3",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","2","2","3","3","3",NA,NA,NA,"1","4","4","2","2","2",NA,NA,NA,"1","1","1","1","2","2",NA,NA,NA,"1","2","2","1","2","2",NA,NA,NA,"1","3","3","2","1","2",NA,NA,NA,"1","5","4","2","2","2",NA,NA,NA,"2","3","3","2","1","1",NA,NA,NA,"1","5","5",NA,NA,NA,"3","2","2","2","4","4","2","2","2",NA,NA,NA,"2","5","5",NA,NA,NA,"5","5","4","5","4","4","3","3","3",NA,NA,NA,"1","5","5",NA,NA,NA,"5","3","4","5","5","5",NA,NA,NA,"5","5","5","5","5","2","4","38","1",NA,"5","3","7",NA,"175","167","Region #6"
188,"3","3","1","1","2",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","3","3","1","1","1",NA,NA,NA,"1","4","3","2","2","2",NA,NA,NA,"3","2","2","1","1","2",NA,NA,NA,"1","2","2","2","2","2",NA,NA,NA,"1","3","4","1","1","2",NA,NA,NA,"1","4","4","3","3","3",NA,NA,NA,"3","3","3","3","3","3",NA,NA,NA,"2","4","4","3","3","3",NA,NA,NA,"3","4","4","3","3","3",NA,NA,NA,"3","4","5",NA,NA,NA,"3","3","4","4","3","3","2","3","3",NA,NA,NA,"2","3","4","2","2","3",NA,NA,NA,"3","3","3","3","2","3",NA,NA,NA,"2","5","2","4","54","2",NA,"4","4","7",NA,"217","177","Region #5"
364,"4","3","2","2","2",NA,NA,NA,"2","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","3","3","2","2","2",NA,NA,NA,"2","2","2","2","2","2",NA,NA,NA,"2","2","2","2","2","2",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","4","4","2","2","2",NA,NA,NA,"3","2","2","2","2","2",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","4","4","3","3","3",NA,NA,NA,"3","3","3","2","2","3",NA,NA,NA,"2","3","3","2","3","2",NA,NA,NA,"2","3","4","3","3","3",NA,NA,NA,"3","5","2","4","33","2",NA,"5","5","7",NA,"154","176","Region #5"
46,"4","4","5","4","4",NA,NA,NA,"4","2","2","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","4","4","1","1","1",NA,NA,NA,"1","4","4","4","4","3",NA,NA,NA,"4","2","2","1","1","1",NA,NA,NA,"1","3","3","2","1","1",NA,NA,NA,"2","3","3","1","1","1",NA,NA,NA,"1","3","4","5","5","5",NA,NA,NA,"4","3","2","2","1","1",NA,NA,NA,"1","3","3","2","1","1",NA,NA,NA,"2","3","4","2","2","2",NA,NA,NA,"2","3","3","5","5","5",NA,NA,NA,"1","3","3","2","2","2",NA,NA,NA,"1","5","5",NA,NA,NA,"2","2","2","5","3","5",NA,NA,NA,"2","2","3","5","5","2","4","63","2",NA,"4","5","7",NA,"193","175","Region #5"
284,"4","2","1","1","2",NA,NA,NA,"1","1","2","1","2","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","2","2","2","1","2",NA,NA,NA,"1","4","3","1","4","2",NA,NA,NA,"2","1","2","2","2","1",NA,NA,NA,"1","2","3","1","2","1",NA,NA,NA,"1","3","2","2","2","2",NA,NA,NA,"1","5","5",NA,NA,NA,"2","2","3","4","3","3","2","3","3",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"3","4","3","2","2","2",NA,NA,NA,"2","3","3","3","4","4",NA,NA,NA,"2","3","3","2","3","3",NA,NA,NA,"3","3","3","3","2","2",NA,NA,NA,"3","4","3","2","2","3",NA,NA,NA,"3","5","2","4","33","2",NA,"7","5","7",NA,"234","126","Region #7"
114,"3","3","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","2","1","1","1","1",NA,NA,NA,"1","1","2","1","1","1",NA,NA,NA,"1","4","3","2","2","2",NA,NA,NA,"3","2","2","2","2","2",NA,NA,NA,"1","2","2","2","2","2",NA,NA,NA,"1","3","3","2","2","2",NA,NA,NA,"2","4","3","3","3","2",NA,NA,NA,"3","2","2","2","2","2",NA,NA,NA,"2","3","2","2","2","2",NA,NA,NA,"2","3","2","2","2","2",NA,NA,NA,"2","3","4","2","2","3",NA,NA,NA,"2","2","2","2","2","2",NA,NA,NA,"2","4","4","2","2","2",NA,NA,NA,"2","2","3","2","2","2",NA,NA,NA,"2","5","2","4","45","2",NA,"4","5","7",NA,"179","156","Region #6"
246,"4","4","3","3","2",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","4","4","1","1","1",NA,NA,NA,"1","5","3","1","1","2",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","4","3","1","1","1",NA,NA,NA,"1","5","5",NA,NA,NA,"3","3","3","3","3","3","3","3","3",NA,NA,NA,"2","5","5",NA,NA,NA,"3","3","3","3","4","4","3","3","3",NA,NA,NA,"2","5","5",NA,NA,NA,"3","3","3","3","3","3","3","3","3",NA,NA,NA,"2","5","5",NA,NA,NA,"3","3","3","3","4","4","3","3","3",NA,NA,NA,"2","5","2","4","54","2",NA,"7","2","7",NA,"175","148","Region #6"
160,"1","1","4","5","3",NA,NA,NA,"1","3","4","2","2","3",NA,NA,NA,"1","1","1","2","1","1",NA,NA,NA,"1","3","1","1","1","1",NA,NA,NA,"1","3","5",NA,NA,NA,"5","5","5","5","3","3","2","2","2",NA,NA,NA,"1","3","4","1","1","1",NA,NA,NA,"1","1","2","1","1","1",NA,NA,NA,"1","5","5",NA,NA,NA,"4","5","4","5","3","4","2","2","2",NA,NA,NA,"1","4","5",NA,NA,NA,"4","5","4","5","3","4","2","2","2",NA,NA,NA,"2","4","4","5","3","3",NA,NA,NA,"2","4","4","2","3","3",NA,NA,NA,"4","5","5",NA,NA,NA,"4","4","4","5","3","5",NA,NA,NA,"2","2","3","4","5","2","4","56","2",NA,"7","6","7",NA,"204","119","Region #7"
110,"5","5",NA,NA,NA,"3","3","3","3","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","3","4","2","2","2",NA,NA,NA,"1","5","4","2","2","2",NA,NA,NA,"2","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","5","5",NA,NA,NA,"3","3","3","5","2","3","2","2","2",NA,NA,NA,"1","3","4","3","3","3",NA,NA,NA,"4","3","4","3","3","3",NA,NA,NA,"2","4","5",NA,NA,NA,"3","3","3","5","3","2","1","2","2",NA,NA,NA,"1","4","4","3","3","3",NA,NA,NA,"4","1","1","1","1","3",NA,NA,NA,"1","5","2","4","26","2",NA,"8","5","4",NA,"206","146","Region #6"
199,"3","3","3","3","4",NA,NA,NA,"2","3","3","1","1","1",NA,NA,NA,"2","2","3","1","1","1",NA,NA,NA,"2","3","3","2","2","1",NA,NA,NA,"2","4","4","2","2","3",NA,NA,NA,"3","2","3","2","2","1",NA,NA,NA,"2","2","3","2","2","2",NA,NA,NA,"2","4","4","2","3","2",NA,NA,NA,"3","5","5",NA,NA,NA,"4","4","4","4","4","4","2","2","2",NA,NA,NA,"2","4","4","2","2","2",NA,NA,NA,"2","4","4","2","2","2",NA,NA,NA,"3","4","4","5","4","5",NA,NA,NA,"4","4","4","2","2","2",NA,NA,NA,"2","4","4","2","2","2",NA,NA,NA,"2","4","4","3","3","3",NA,NA,NA,"4","5","2","4","23","2",NA,"3","5","2",NA,"182","225","Region #4"
130,"3","1","2","2","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","3","3","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","4","4","3","3","3",NA,NA,NA,"3","2","2","2","2","2",NA,NA,NA,"2","3","3","3","3","3",NA,NA,NA,"3","2","2","2","2","2",NA,NA,NA,"2","4","4","3","3","3",NA,NA,NA,"3","1","1","3","3","3",NA,NA,NA,"1","3","3","2","2","2",NA,NA,NA,"2","1","1","1","1","1",NA,NA,NA,"1","5","2","4","33","2",NA,"5","5","7",NA,"173","190","Region #5"
295,"3","2","4","3","4",NA,NA,NA,"2","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","2","2","1","1","1",NA,NA,NA,"1","2","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","4","5","4","3",NA,NA,NA,"5","2","2","1","1","2",NA,NA,NA,"2","5","5",NA,NA,NA,"3","2","5","4","1","2","2","2","2",NA,NA,NA,"1","1","3","5","5","1",NA,NA,NA,"5","1","3","1","1","4",NA,NA,NA,"2","5","5",NA,NA,NA,"4","5","5","5","1","3","1","1","4",NA,NA,NA,"2","5","2","4","27","3",NA,"4","2","7",NA,"136","254","Region #3"
236,"5","4","2","2","2",NA,NA,NA,"1","3","3","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","4","4","3","2","2",NA,NA,NA,"1","5","3","1","1","2",NA,NA,NA,"1","3","3","2","1","1",NA,NA,NA,"1","3","3","1","1","1",NA,NA,NA,"1","3","3","2","1","1",NA,NA,NA,"1","5","4","2","3","2",NA,NA,NA,"1","3","3","2","1","1",NA,NA,NA,"1","3","4","1","1","1",NA,NA,NA,"1","4","3","1","1","1",NA,NA,NA,"1","5","3","3","5","1",NA,NA,NA,"1","3","3","1","1","5",NA,NA,NA,"1","5","5",NA,NA,NA,"1","1","5","3","3","3","2","1","2",NA,NA,NA,"1","5","2","4","44","1",NA,"3","3","7",NA,"157","213","Region #4"
243,"3","3","3","2","3",NA,NA,NA,"2","2","2","2","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","2","2","2","2","2",NA,NA,NA,"1","2","2","2","2","2",NA,NA,NA,"2","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","2","2","1","1","1",NA,NA,NA,"1","3","4","4","3","2",NA,NA,NA,"3","2","2","2","5","2",NA,NA,NA,"2","4","4","2","2","2",NA,NA,NA,"3","3","3","2","2","3",NA,NA,NA,"2","3","4","3","3","3",NA,NA,NA,"3","3","3","3","3","3",NA,NA,NA,"2","2","3","2","2","3",NA,NA,NA,"3","3","3","3","3","3",NA,NA,NA,"2","5","2","4","60","2",NA,"5","4","4,7",NA,"169","223","Region #4"
34,"4","3","1","2","2",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","1","2","1","2",NA,NA,NA,"1","1","1","2","1","2",NA,NA,NA,"1","1","1","1","2","2",NA,NA,NA,"1","1","1","1","2","2",NA,NA,NA,"1","3","3","2","2","2",NA,NA,NA,"2","2","2","2","2","2",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","3","2","2","2","2",NA,NA,NA,"2","3","4","2","2","2",NA,NA,NA,"3","3","3","2","2","2",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","5","5",NA,NA,NA,"2","2","2","3","5","2","4","55","2",NA,"7","4","7",NA,"191","200","Region #5"
222,"1","3","4","3","3",NA,NA,NA,"4","3","1","2","1","2",NA,NA,NA,"2","3","1","1","1","1",NA,NA,NA,"2","3","1","2","2","2",NA,NA,NA,"2","4","5",NA,NA,NA,"3","3","3","5","3","1","2","2","2",NA,NA,NA,"2","2","3","2","2","2",NA,NA,NA,"2","3","1","2","2","2",NA,NA,NA,"2","4","4","4","4","2",NA,NA,NA,"4","3","2","3","2","2",NA,NA,NA,"2","5","5",NA,NA,NA,"2","2","2","3","1","1","2","2","1",NA,NA,NA,"2","4","5",NA,NA,NA,"4","4","3","4","3","1","2","2","2",NA,NA,NA,"2","5","5",NA,NA,NA,"3","3","3","5","3","2","2","3","3",NA,NA,NA,"2","5","2","4","30","2",NA,"1","5","7",NA,"100","243","Other"
137,"3","3","4","3","3",NA,NA,NA,"3","1","2","2","2","2",NA,NA,NA,"1","2","3","2","2","2",NA,NA,NA,"1","2","2","2","2","2",NA,NA,NA,"1","5","5",NA,NA,NA,"3","3","3","2","2","2","2","2","2",NA,NA,NA,"1","4","4","2","2","2",NA,NA,NA,"2","4","4","3","2","2",NA,NA,NA,"2","5","5",NA,NA,NA,"2","2","2","3","1","1","2","2","2",NA,NA,NA,"1","5","5",NA,NA,NA,"2","2","3","3","4","4","2","2","2",NA,NA,NA,"2","5","5",NA,NA,NA,"5","5","5","5","4","4","3","2","2",NA,NA,NA,"3","5","5",NA,NA,NA,"3","3","5","5","3","3","3","2","2",NA,NA,NA,"3","5","2","4","31","2",NA,"5","5","7",NA,NA,NA,NA
253,"3","2","2","2","2",NA,NA,NA,"1","2","2","2","2","2",NA,NA,NA,"2","1","1","2","2","2",NA,NA,NA,"1","2","2","2","2","2",NA,NA,NA,"2","3","3","3","3","2",NA,NA,NA,"3","3","3","2","2","2",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","3","3","3","3","3",NA,NA,NA,"3","4","5",NA,NA,NA,"4","4","3","5","4","5",NA,NA,NA,"2","2","2","5","4","5",NA,NA,NA,"5","3","3","5","4","5",NA,NA,NA,"3","3","3","5","4","5",NA,NA,NA,"5","5","5","5","5","5",NA,NA,NA,"5","5","5","5","5","5",NA,NA,NA,"5","5","5","5","5","5",NA,NA,NA,"5","5","5","5","5","2","4","30","1",NA,"7","6","7",NA,"170","149","Other"
352,"4","4","2","4","2",NA,NA,NA,"2","2","3","1","1","1",NA,NA,NA,"2","1","3","1","1","1",NA,NA,NA,"1","4","5",NA,NA,NA,"4","5","5","4","4","5",NA,NA,NA,"2","4","4","3","2","3","2","2","2",NA,NA,NA,"2","2","4","2","1","2",NA,NA,NA,"2","5","5",NA,NA,NA,"4","4","4","4","3","5",NA,NA,NA,"3","4","4","4","4","4","2","2","2",NA,NA,NA,"2","5","5",NA,NA,NA,"3","2","5","4","4","4","4","4","4",NA,NA,NA,"4","4","4","2","5","4",NA,NA,NA,"2","4","4","2","1","1",NA,NA,NA,"2","5","5",NA,NA,NA,"1","1","1","3","4","5",NA,NA,NA,"2","2","2","2","5","2","4","43","2",NA,"7","6","7",NA,"210","123","Region #7"
219,"2","2","2","2","2",NA,NA,NA,"1","1","1","2","2","2",NA,NA,NA,"2","1","1","1","1","1",NA,NA,NA,"1","3","3","2","2","2",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","2","2","2","2","2",NA,NA,NA,"2","3","3","2","3","2",NA,NA,NA,"2","2","2","2","2","2",NA,NA,NA,"2","3","4","3","3","3",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","4","4","3","3","3",NA,NA,NA,"3","4","4","2","2","3",NA,NA,NA,"2","4","4","5","3","3",NA,NA,NA,"4","4","4","3","3","3",NA,NA,NA,"3","5","5",NA,NA,NA,"3","3","3","4","4","4","3","3","3",NA,NA,NA,"3","5","2","4","35","2",NA,"4","5","2",NA,"155","224","Region #4"
86,"4","4","1","1","1",NA,NA,NA,"1","2","2","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","3","3","1","1","1",NA,NA,NA,"1","5","4","2","2","2",NA,NA,NA,"2","2","2","1","2","1",NA,NA,NA,"1","3","3","1","1","1",NA,NA,NA,"1","3","3","2","2","2",NA,NA,NA,"1","4","4","3","3","2",NA,NA,NA,"2","3","3","3","3","2",NA,NA,NA,"1","4","4","2","3","2",NA,NA,NA,"2","4","4","2","3","2",NA,NA,NA,"2","5","5",NA,NA,NA,"3","3","4","4","4","4","2","2","4",NA,NA,NA,"1","5","5",NA,NA,NA,"2","2","4","4","4","5",NA,NA,NA,"3","3","3","2","5","2","4","32","2",NA,"4","4","7",NA,"98","250","Other"
234,"4","4","2","2","2",NA,NA,NA,"2","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","2","2","2","2","2",NA,NA,NA,"2","4","5",NA,NA,NA,"3","3","3","3","3","3","2","2","2",NA,NA,NA,"3","2","3","2","2","2",NA,NA,NA,"2","4","4","2","2","2",NA,NA,NA,"3","5","5",NA,NA,NA,"3","3","3","3","4","4","2","2","2",NA,NA,NA,"3","4","4","2","2","2",NA,NA,NA,"3","4","4","2","2","2",NA,NA,NA,"3","4","5",NA,NA,NA,"3","3","3","3","4","5",NA,NA,NA,"3","3","3","3","5","5",NA,NA,NA,"3","3","3","3","4","5",NA,NA,NA,"3","3","3","3","5","2","4","44","1",NA,"7","11","4,7",NA,"183","156","Region #6"
277,"3","3","1","1","1",NA,NA,NA,"2","2","2","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"2","4","4","3","3","3",NA,NA,NA,"3","4","4","3","3","3",NA,NA,NA,"3","2","2","2","2","2",NA,NA,NA,"2","2","2","2","2","2",NA,NA,NA,"2","3","3","2","2","2",NA,NA,NA,"2","5","5",NA,NA,NA,"3","3","3","4","4","4","3","3","3",NA,NA,NA,"3","5","5",NA,NA,NA,"3","3","3","4","5","5",NA,NA,NA,"3","3","3","4","5","5",NA,NA,NA,"2","2","3","4","5","5",NA,NA,NA,"3","3","3","5","5","5",NA,NA,NA,"3","3","3","5","5","5",NA,NA,NA,"2","2","3","4","5","2","4","39","2",NA,"7","5","3",NA,"254","137","Region #7"
271,"4","2","1","1","1",NA,NA,NA,"2","1","1","1","1","1",NA,NA,NA,"1","1","1","1","1","1",NA,NA,NA,"1","1","2","1","1","1",NA,NA,NA,"1","5","3","2","3","3",NA,NA,NA,"2","2","2","3","3","3",NA,NA,NA,"2","2","2","2","2","2",NA,NA,NA,"1","3","3","3","3","3",NA,NA,NA,"2","4","4","3","3","3",NA,NA,NA,"4","3","3","3","3","3",NA,NA,NA,"2","3","3","3","3","2",NA,NA,NA,"2","3","3","3","3","3",NA,NA,NA,"2","5","5",NA,NA,NA,"3","3","3","4","5","5",NA,NA,NA,"3","3","3","4","5","5",NA,NA,NA,"3","3","3","4","5","5",NA,NA,NA,"3","3","3","4","5","2","4","47","2",NA,"3","2","7",NA,NA,NA,NA
